English,Episodes,Genres,Personal score,Score,Source,Studios,Type
009 Re:Cyborg,1,Action,6,6.71,Unknown,Production I.G,Movie
March comes in like a lion,22,Game,8,8.39,Manga,Shaft,TV
Accel World,24,Action,9,7.55,Light novel,Sunrise,TV
Accel World EX,2,Action,6,7.27,Light novel,Sunrise,OVA
Accel World: Acchel World.,8,Sci-Fi,5,6.34,4-koma manga,J.C.Staff,Special
Place to Place,12,Slice of Life,7,7.62,4-koma manga,AIC,TV
Acchi Kocchi (TV): Place=Princess,1,Slice of Life,7,7.59,4-koma manga,AIC,Special
Air,12,Slice of Life,8,7.44,Visual novel,Kyoto Animation,TV
Air in Summer,2,Romance,8,7.43,Visual novel,Kyoto Animation,Special
Air: The Motion Picture,1,Drama,7,7.36,Visual novel,Toei Animation,Movie
Aiura,12,Comedy,7,6.79,4-koma manga,LIDENFILMS,TV
AKIRA,1,Action,8,8.16,Manga,Tokyo Movie Shinsha,Movie
Flowers of Evil,13,Drama,8,7.20,Manga,Zexcs,TV
Aldnoah.Zero,12,Action,8,7.59,Original,A-1 Pictures,TV
Amagami SS,25,Slice of Life,9,7.52,Visual novel,AIC,TV
Amagami SS,6,Romance,7,7.35,Unknown,AIC,OVA
Amagami SS+ plus,13,Slice of Life,4,7.57,Visual novel,AIC,TV
Amagami SS+ Plus Specials,NaN,NaN,5,NaN,NaN,NaN,NaN
Amagami SS: Little Sister,1,School,9,7.32,Unknown,AIC,Special
Angel Beats!,NaN,NaN,10,NaN,NaN,NaN,NaN
Angel Beats!: Another Epilogue,1,Supernatural,0,7.60,Original,P.A. Works,Special
Animation Store Manager,1,Action,0,6.09,Other,Gainax,OVA
anohana: The Flower We Saw That Day,11,Slice of Life,10,8.56,Original,A-1 Pictures,TV
Waiting in the Summer,12,Comedy,9,7.65,Original,J.C.Staff,TV
Another,12,Mystery,8,7.80,Novel,P.A. Works,TV
Another: The Other,1,Horror,7,7.46,Novel,P.A. Works,OVA
Ansatsu Kyoushitsu,1,Action,6,7.32,Manga,Brain's Base,Special
Blue Exorcist,25,Action,8,7.86,Manga,A-1 Pictures,TV
Blue Exorcist The Movie,1,Action,6,7.83,Manga,A-1 Pictures,Movie
Blue Exorcist: Runaway Kuro,1,Action,6,7.41,Manga,A-1 Pictures,Special
Ao no Exorcist: Ura Ex,10,Action,4,7.22,Unknown,A-1 Pictures,Special
World War Blue,3,Action,5,5.97,Manga,Fifth Avenue,Special
World's End,1,Sci-Fi,8,6.43,Unknown,Madhouse,OVA
Arve Rezzle: Kikaijikake no Yousei-tachi,1,Action,8,6.39,Light novel,Zexcs,Movie
Aura: Koga Maryuin's Last War,1,Comedy,8,7.61,Light novel,AIC A.S.T.A.,Movie
Baccano!,13,Action,8,8.50,Light novel,Brain's Base,TV
Baccano! Specials,3,Action,8,8.25,Light novel,Brain's Base,Special
Baka & Test - Summon the Beasts,13,Comedy,9,7.78,Light novel,Silver Link.,TV
Baka to Test to Shoukanjuu Ni!,NaN,NaN,8,NaN,NaN,NaN,NaN
Baka to Test to Shoukanjuu Specials,6,Magic,4,7.46,Unknown,Silver Link.,Special
Baka to Test to Shoukanjuu: Matsuri,NaN,NaN,8,NaN,NaN,NaN,NaN
"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",1,Comedy,6,6.98,Light novel,Silver Link.,ONA
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,NaN,NaN,4,NaN,NaN,NaN,NaN
The Boy and the Beast,1,Adventure,8,8.52,Original,Studio Chizu,Movie
Bakemonogatari,15,Mystery,10,8.36,Light novel,Shaft,TV
Bakemonogatari Recap,1,Mystery,0,7.38,Light novel,Shaft,Special
Bakuman.,25,Comedy,6,8.33,Manga,J.C.Staff,TV
Bakuman.,25,Comedy,8,8.50,Manga,J.C.Staff,TV
Bakuman. 3rd Season,NaN,NaN,7,NaN,NaN,NaN,NaN
Barakamon,12,Comedy,8,8.48,Web manga,Kinema Citrus,TV
Ben-To,12,Action,7,7.44,Light novel,David Production,TV
Berserk,12,Action,7,6.72,Manga,Millepensee,TV
Berserk,12,Action,6,7.12,Manga,Millepensee,TV
Berserk: Majo no Tsuisou,NaN,NaN,3,NaN,NaN,NaN,NaN
Berserk: Ougon Jidai-hen I - Haou no Tamago,NaN,NaN,8,NaN,NaN,NaN,NaN
Berserk: The Golden Age Arc II - The Battle for Doldrey,1,Action,9,8.07,Manga,Studio 4°C,Movie
Berserk: The Golden Age Arc III - The Advent,1,Action,8,8.31,Manga,Studio 4°C,Movie
Binbougami ga!,NaN,NaN,8,NaN,NaN,NaN,NaN
Biohazard: Damnation,1,Action,0,7.37,Game,Digital Frontier,Movie
Biohazard: Degeneration,1,Action,0,7.17,Game,Digital Frontier,Movie
Resident Evil: Vendetta,1,Action,0,7.27,Game,Marza Animation Planet,Movie
Black Lagoon,12,Action,4,8.14,Manga,Madhouse,TV
Black Lagoon Omake,7,Comedy,4,6.95,Manga,Madhouse,Special
Black Lagoon: Roberta's Blood Trail,5,Action,6,8.13,Manga,Madhouse,OVA
Black Lagoon: The Second Barrage,12,Action,5,8.27,Manga,Madhouse,TV
Blade Runner: Black Out 2022,1,Sci-Fi,0,7.12,Other,Cygames,ONA
Blame! Movie,1,Action,6,7.38,Manga,Polygon Pictures,Movie
BLEND-S,12,Slice of Life,8,7.65,4-koma manga,A-1 Pictures,TV
Blood Lad,10,Action,6,7.52,Manga,Brain's Base,TV
Blood Lad: Wagahai wa Neko de wa Nai,NaN,NaN,5,NaN,NaN,NaN,NaN
BLOOD-C,12,Action,8,6.71,Manga,Production I.G,TV
Blood-C: The Last Dark,1,Action,7,7.32,Original,Production I.G,Movie
Blood: The Last Vampire,1,Horror,6,6.99,Original,Production I.G,Movie
ERASED,12,Mystery,8,8.57,Manga,A-1 Pictures,TV
"Boku no Imouto wa ""Osaka Okan""",12,Comedy,5,5.89,Original,Charaction,TV
"Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.",1,Comedy,4,5.75,Original,Charaction,ONA
Haganai: I don't have many friends,12,Harem,7,7.49,Light novel,AIC Build,TV
Boku wa Tomodachi ga Sukunai Episode 0,1,Slice of Life,0,6.83,Light novel,AIC Build,OVA
Haganai: I don't have many friends NEXT,12,Harem,7,7.62,Light novel,AIC Build,TV
Haganai: Add-on Disc,1,Comedy,7,7.20,Light novel,AIC Build,OVA
Bokusatsu Tenshi Dokuro-chan,NaN,NaN,7,NaN,NaN,NaN,NaN
Bludgeoning Angel Dokuro-chan 2,2,Magic,8,6.86,Light novel,Hal Film Maker,OVA
Xam'd: Lost Memories,26,Action,9,7.78,Original,Bones,ONA
BTOOOM!,12,Action,7,7.61,Manga,Madhouse,TV
Busou Shinki Moon Angel,NaN,NaN,8,NaN,NaN,NaN,NaN
5 Centimeters Per Second,3,Drama,8,7.98,Original,CoMix Wave Films,Movie
Canaan,13,Action,8,7.37,Visual novel,P.A. Works,TV
Carnival Phantasm,12,Comedy,9,7.98,Manga,Lerche,OVA
Carnival Phantasm EX Season,1,Comedy,9,7.55,Unknown,Lerche,OVA
Carnival Phantasm: HibiChika Special,1,Comedy,8,7.44,Unknown,Lerche,Special
Carnival Phantasm: Illya-jou,1,Parody,4,7.03,Unknown,Lerche,Special
C³,NaN,NaN,6,NaN,NaN,NaN,NaN
C³ - CubexCursedxCurious Special,1,Action,4,6.85,Light novel,Silver Link.,Special
Charlotte,13,Drama,7,7.92,Original,P.A. Works,TV
Charlotte: Tsuyoimono-tachi,1,Super Power,0,7.56,Original,P.A. Works,Special
ChäoS;Child,12,Sci-Fi,6,6.56,Visual novel,Silver Link.,TV
ChäoS;Child Episode 0,1,Sci-Fi,0,6.38,Visual novel,Silver Link.,Special
ChäoS;HEAd,12,Harem,7,6.54,Visual novel,Madhouse,TV
Chobits,26,Sci-Fi,8,7.54,Manga,Madhouse,TV
Chobits: Hibiya and Kotoko Chat,1,Ecchi,0,7.06,Manga,Madhouse,Special
Chobits: Chibits - Sumomo and Kotoko Deliver,1,Romance,0,7.07,Manga,Madhouse,Special
Choboraunyopomi Gekijou Ai Mai Mii,NaN,NaN,0,NaN,NaN,NaN,NaN
"Love, Chunibyo & Other Delusions!",12,Slice of Life,10,7.90,Light novel,Kyoto Animation,TV
Chuunibyou demo Koi ga Shitai! Lite,NaN,NaN,9,NaN,NaN,NaN,NaN
"Love, Chunibyo & Other Delusions!: Heart Throb",12,Comedy,4,7.60,Light novel,Kyoto Animation,TV
"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",6,Comedy,7,7.22,Light novel,Kyoto Animation,ONA
Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,NaN,NaN,8,NaN,NaN,NaN,NaN
"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel",1,Comedy,7,7.58,Light novel,Kyoto Animation,Special
Clannad,23,Comedy,9,8.23,Visual novel,Kyoto Animation,TV
Clannad Movie,NaN,NaN,4,NaN,NaN,NaN,NaN
Clannad ~After Story~,24,Drama,10,9.02,Visual novel,Kyoto Animation,TV
"Clannad ~After Story~: Another World, Kyou Chapter",1,Drama,8,7.98,Visual novel,Kyoto Animation,Special
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",NaN,NaN,10,NaN,NaN,NaN,NaN
Code Geass: Akito the Exiled - The Wyvern Arrives,1,Action,6,7.58,Original,Sunrise,Movie
Code Geass: Lelouch of the Rebellion,25,Action,10,8.79,Original,Sunrise,TV
Code Geass: Nunnally in Wonderland,1,Comedy,3,6.51,Original,Sunrise,OVA
Code Geass: Lelouch of the Rebellion R2,25,Action,10,8.95,Original,Sunrise,TV
Colorful The Motion Picture,1,Slice of Life,8,8.01,Novel,Sunrise,Movie
Concrete Revolutio: Choujin Gensou,NaN,NaN,7,NaN,NaN,NaN,NaN
From Up on Poppy Hill,1,Historical,8,8.00,Manga,Studio Ghibli,Movie
Corpse Party: Missing Footage,1,Horror,0,6.33,Visual novel,Asread,OVA
Corpse Party: Tortured Souls,4,Horror,8,7.03,Visual novel,Asread,OVA
Cowboy Bebop,26,Action,6,8.81,Original,Sunrise,TV
Cowboy Bebop: The Movie,1,Action,6,8.41,Original,Bones,Movie
Cowboy Bebop Session XX,1,Action,4,7.52,Original,Sunrise,Special
Cross Road,1,Slice of Life,0,7.52,Original,add some,Special
Cyborg 009: The Reopening,1,Action,0,5.70,Unknown,Production I.G,Special
Cyclops Shoujo Saipuu,12,Ecchi,4,5.99,4-koma manga,add some,ONA
D.C.~Da Capo~,26,Harem,7,6.88,Visual novel,feel.,TV
Dance in the Vampire Bund,12,Action,6,7.18,Manga,Shaft,TV
Danganronpa: The Animation,13,Mystery,8,7.48,Game,Lerche,TV
Daily Lives of High School Boys,12,Slice of Life,7,8.34,Web manga,Sunrise,TV
Someone's Gaze,1,Drama,7,7.51,Original,CoMix Wave Films,Movie
Darker than Black,25,Action,9,8.22,Original,Bones,TV
Darker than Black: Kuro no Keiyakusha Gaiden,4,Action,10,8.06,Original,Bones,Special
Darker than Black: Kuro no Keiyakusha Special,1,Sci-Fi,7,7.63,Original,Bones,Special
Darker than Black: Gemini of the Meteor,12,Action,9,7.58,Original,Bones,TV
Deadman Wonderland,12,Action,8,7.42,Manga,Manglobe,TV
Deadman Wonderland OVA,1,Action,7,7.09,Manga,Manglobe,OVA
Death Billiards,1,Game,8,8.02,Original,Madhouse,Movie
Death Note,37,Mystery,6,8.68,Manga,Madhouse,TV
Death Parade,12,Game,5,8.28,Original,Madhouse,TV
Dengeki Bunko 2007 Movie Festival Special,1,Comedy,0,6.30,Unknown,add some,Special
Ground Control to Psychoelectric Girl,12,Sci-Fi,8,7.28,Light novel,Shaft,TV
Denpa Onna to Seishun Otoko Special,1,Sci-Fi,7,7.38,Light novel,Shaft,Special
Denpa-teki na Kanojo,2,Mystery,8,7.72,Light novel,Brain's Base,OVA
Detroit Metal City: The Animated Series,12,Music,8,8.23,Manga,Studio 4°C,OVA
Detroit Metal City: Birth of the Metal Devil,1,Parody,0,7.39,Unknown,Studio 4°C,Special
Durarara!!,24,Action,8,8.31,Light novel,Brain's Base,TV
Durarara!! Specials,2,Action,8,8.01,Light novel,Brain's Base,Special
Durarara!! x2 Shou,12,Action,7,8.12,Light novel,Shuka,TV
Durarara!! x2 Ten,12,Action,6,8.10,Light novel,Shuka,TV
ef - a tale of melodies.,12,Drama,8,8.13,Visual novel,Shaft,TV
ef: A Tale of Melodies. - Prologue,1,Music,0,7.38,Visual novel,Shaft,Special
ef - a tale of memories.,12,Mystery,10,8.07,Visual novel,Shaft,TV
ef: A Tale of Memories. - Prologue,1,Drama,0,7.20,Visual novel,Shaft,Special
Elfen Lied,NaN,NaN,7,NaN,NaN,NaN,NaN
Elfen Lied: In the Passing Rain,1,Horror,6,7.31,Manga,Arms,Special
Eureka Seven,50,Sci-Fi,10,8.16,Original,Bones,TV
Eureka Seven AO,24,Action,6,6.82,Manga,Bones,TV
Eureka Seven AO: Jungfrau no Hanabana-tachi,1,Action,2,6.37,Manga,Bones,OVA
"Eureka Seven - good night, sleep tight, young lovers",1,Adventure,9,7.23,Original,Bones,Movie
Evangelion: 1.0 You Are (Not) Alone,1,Action,8,8.17,Original,Khara,Movie
Evangelion: 2.0 You Can (Not) Advance,1,Action,10,8.46,Original,Khara,Movie
Evangelion: 3.0 You Can (Not) Redo,1,Action,7,7.66,Original,Khara,Movie
Time of Eve,1,Sci-Fi,7,8.19,Original,Studio Rikka,Movie
Fate/Kaleid Liner Prisma Illya,10,Action,7,7.25,Manga,Silver Link.,TV
Fate/kaleid liner Prisma☆Illya Specials,5,Comedy,6,6.89,Manga,Silver Link.,Special
Fate/Kaleid Liner Prisma Illya: Dance at the Sports Festival!,1,Comedy,5,6.81,Manga,Silver Link.,OVA
Fate/Prototype,1,Action,0,6.93,Original,Lerche,OVA
Fate/stay night,24,Action,8,7.53,Visual novel,Studio Deen,TV
Fate/stay night: Unlimited Blade Works,1,Action,9,7.54,Visual novel,Studio Deen,Movie
Fate/stay night TV Reproduction,2,Action,5,7.01,Visual novel,Studio Deen,OVA
Fate/stay night [Unlimited Blade Works],12,Action,7,8.36,Visual novel,ufotable,TV
Fate/stay night: Unlimited Blade Works - Prologue,1,Action,8,8.25,Visual novel,ufotable,Special
Fate/stay night [Unlimited Blade Works] Season 2,13,Action,6,8.42,Visual novel,ufotable,TV
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,1,Action,5,7.48,Visual novel,ufotable,Special
Fate/Zero,13,Action,9,8.46,Novel,ufotable,TV
Fate/Zero Season 2,12,Action,10,8.67,Light novel,ufotable,TV
Fate/Zero: Please! Einzbern Counseling Room,6,Comedy,6,6.73,Unknown,ufotable,Special
FLCL,6,Action,7,8.06,Original,Gainax,OVA
Free! - Iwatobi Swim Club,12,Slice of Life,7,7.60,Original,Kyoto Animation,TV
Free!: FrFr - Short Movie,7,Comedy,5,7.77,Light novel,Kyoto Animation,Special
Freezing,12,Action,6,7.13,Manga,A.C.G.T.,TV
Freezing Specials,6,Action,5,6.71,Unknown,A.C.G.T.,Special
Fullmetal Alchemist,51,Action,7,8.30,Manga,Bones,TV
Fullmetal Alchemist: Brotherhood,64,Action,9,9.25,Manga,Bones,TV
Fullmetal Alchemist: Brotherhood: 4-Koma Theater,16,Parody,6,7.65,4-koma manga,Bones,Special
Fullmetal Alchemist: Brotherhood OVA Collection,4,Military,7,8.10,Manga,Bones,Special
Fullmetal Alchemist: Premium OVA Collection,3,Fantasy,6,7.43,Manga,Bones,OVA
Fullmetal Alchemist: The Movie - Conqueror of Shamballa,1,Military,8,7.71,Manga,Bones,Movie
Fullmetal Alchemist: The Sacred Star of Milos,1,Action,6,7.45,Manga,Bones,Movie
The Great Passage,11,Slice of Life,8,7.68,Novel,Zexcs,TV
Ponyo,1,Adventure,0,7.93,Original,Studio Ghibli,Movie
School-Live!,12,Slice of Life,8,7.69,Manga,Lerche,TV
Galilei Donna: Storia di tre sorelle a caccia di un mistero,11,Action,7,6.48,Original,A-1 Pictures,TV
Gamers!,12,Comedy,7,7.29,Light novel,Pine Jam,TV
Gantz,13,Action,6,7.21,Manga,Gonzo,TV
Gantz: Second Stage,13,Action,6,7.24,Manga,Gonzo,TV
Gantz:O,1,Action,7,7.65,Manga,Digital Frontier,Movie
Gatchaman Crowds,12,Sci-Fi,7,7.43,Original,Tatsunoko Production,TV
Monthly Girls' Nozaki-kun,12,Comedy,8,8.16,4-koma manga,Doga Kobo,TV
Ghost in the Shell,1,Action,8,8.35,Manga,Production I.G,Movie
Ghost in the Shell 2: Innocence,1,Military,9,7.91,Manga,Production I.G,Movie
Silver Spoon,11,Comedy,8,8.16,Manga,A-1 Pictures,TV
Silver Spoon 2nd Season,11,Comedy,8,8.34,Manga,A-1 Pictures,TV
Giovanni's Island,1,Drama,9,7.81,Original,Production I.G,Movie
GJ Club,12,Comedy,10,7.44,Light novel,Doga Kobo,TV
Go! Go! 575,4,Slice of Life,4,5.75,Game,C2C,TV
Goodbye Mr. Despair OAD,3,Comedy,6,7.93,Manga,Shaft,OVA
Gosick,24,Mystery,9,8.20,Light novel,Bones,TV
Guilty Crown,22,Action,8,7.76,Original,Production I.G,TV
Guilty Crown: Lost Christmas,1,Action,7,7.07,Original,Production I.G,OVA
Kaiji: Ultimate Survivor,26,Game,6,8.32,Manga,Madhouse,TV
GYO: Tokyo Fish Attack!,1,Horror,8,5.63,Manga,ufotable,OVA
H2O: Footprints in the Sand,12,Harem,7,7.20,Visual novel,Zexcs,TV
Haibane Renmei,13,Slice of Life,8,8.04,Other,Radix,TV
Nyaruko: Crawling With Love!,12,Sci-Fi,9,7.21,Light novel,Xebec,TV
Nyaruko: Crawling With Love! Second Season,12,Comedy,9,7.40,Light novel,Xebec,TV
